season,teamID,teamName,conference,seed,gamesPlayed,gamesWon,winPercentage,tempo,defensiveRebounds,blocks,defensiveEfficiency,steals,totalAssists,threePointAccuracy,freeThrowAccuracy,fieldGoalPercentage,turnoverPercentage,offensiveEfficiency,tournamentWins
2021,1101,Abilene Chr,Southland Conference,14,23,23,1,70,445,58,94.7,189,355,0.3888888888888889,0.7007481296758105,0.529,0.267,101.8,NA
2021,1104,Alabama,Southeastern Conference,2,30,24,0.8,73.9,641,113,88.1,202,367,0.3644859813084112,0.7299107142857143,0.513,0.21100000000000002,111,NA
2021,1111,Appalachian St,Sun Belt Conference,16,24,17,0.7083333333333334,65.4,308,44,104.4,107,165,0.3780487804878049,0.7210144927536232,0.47700000000000004,0.2,99,NA
2021,1116,Arkansas,Southeastern Conference,3,28,22,0.7857142857142857,73.1,595,119,91.2,174,354,0.35546875,0.7463917525773196,0.515,0.203,110.4,NA
2021,1124,Baylor,Big 12 Conference,1,24,22,0.9166666666666666,68.8,502,85,94.5,205,388,0.437847866419295,0.7078947368421052,0.575,0.24600000000000002,123.2,NA
2021,1140,BYU,Mountain West Conference,6,25,20,0.8,68.2,560,59,93.3,94,329,0.3922902494331066,0.7305389221556886,0.55,0.16,112.8,NA
2021,1155,Clemson,American Athletic Conference,7,23,16,0.6956521739130435,64.4,383,46,91.9,106,221,0.35233160621761656,0.7455357142857143,0.504,0.21600000000000003,105.9,NA
2021,1156,Cleveland St,Horizon League,15,26,19,0.7307692307692307,66.2,435,52,100.7,145,289,0.33421750663129973,0.6685082872928176,0.506,0.20199999999999999,99.9,NA
2021,1159,Colgate,Patriot League,14,15,14,0.9333333333333333,71.9,398,45,100,101,242,0.4115755627009646,0.7214285714285714,0.5710000000000001,0.166,110.8,NA
2021,1160,Colorado,Big 12 Conference,5,30,22,0.7333333333333333,66.3,537,67,93.5,121,312,0.39814814814814814,0.8396946564885496,0.52,0.198,113.7,NA
2021,1163,Connecticut,Big East Conference,7,22,15,0.6818181818181818,65.7,369,85,92.8,95,215,0.3715277777777778,0.7254901960784313,0.495,0.196,114.6,NA
2021,1166,Creighton,Missouri Valley Conference,5,28,20,0.7142857142857143,69.1,534,73,94.3,145,335,0.3872832369942196,0.670926517571885,0.557,0.17800000000000002,114.4,NA
2021,1179,Drake,Missouri Valley Conference,11,27,25,0.9259259259259259,66.7,568,65,101.6,162,324,0.38478747203579416,0.708092485549133,0.545,0.188,111.8,NA
2021,1180,Drexel,Colonial Athletic Association,16,19,12,0.631578947368421,64.4,294,33,105,52,191,0.4469026548672566,0.7801047120418848,0.5429999999999999,0.16399999999999998,107.9,NA
2021,1186,E Washington,Big Sky Conference,14,22,16,0.7272727272727273,72.2,407,41,101.1,75,237,0.3853211009174312,0.8148148148148148,0.541,0.165,107.7,NA
2021,1196,Florida,Southeastern Conference,7,23,14,0.6086956521739131,68.6,347,71,93.4,108,180,0.36398467432950193,0.7658862876254181,0.525,0.205,110.6,NA
2021,1199,Florida St,American Athletic Conference,4,22,16,0.7272727272727273,70.4,408,90,94,116,255,0.41297935103244837,0.7619047619047619,0.544,0.196,117.8,NA
2021,1207,Georgetown,Big East Conference,12,25,13,0.52,69.5,370,57,93.2,84,174,0.39855072463768115,0.75,0.496,0.162,108.5,NA
2021,1210,Georgia Tech,Atlantic Coast Conference,9,25,17,0.68,67.7,353,47,94.8,169,300,0.37604456824512533,0.7172413793103448,0.539,0.22699999999999998,113,NA
2021,1211,Gonzaga,West Coast Conference,1,26,26,1,74.6,709,74,89.8,216,476,0.3646833013435701,0.7258883248730964,0.61,0.203,125.4,NA
2021,1213,Grand Canyon,Western Athletic Conference,15,20,17,0.85,65.4,393,40,96,56,201,0.3357142857142857,0.7043189368770764,0.53,0.166,102.7,NA
2021,1216,Hartford,America East Conference,16,23,15,0.6521739130434783,66.9,355,33,99.6,113,177,0.35311572700296734,0.7191489361702128,0.504,0.204,97.3,NA
2021,1222,Houston,Conference USA,2,26,24,0.9230769230769231,65,585,108,90.9,184,325,0.36363636363636365,0.7553444180522565,0.513,0.21600000000000003,120.6,NA
2021,1228,Illinois,Big Ten Conference,1,29,23,0.7931034482758621,70.7,686,71,90.4,133,383,0.37857142857142856,0.7040441176470589,0.556,0.161,117.7,NA
2021,1233,Iona,Metro Atlantic Athletic Conference,15,17,12,0.7058823529411765,68.5,326,49,99.5,82,178,0.37254901960784315,0.7386363636363636,0.512,0.196,101.1,NA
2021,1234,Iowa,Big Ten Conference,2,29,21,0.7241379310344828,70,603,107,95.7,122,439,0.4059590316573557,0.7142857142857143,0.546,0.163,123.5,NA
2021,1242,Kansas,Big 12 Conference,3,27,20,0.7407407407407407,68.2,514,82,90,135,271,0.34474327628361856,0.7171428571428572,0.498,0.2,108.5,NA
2021,1251,Liberty,Big South Conference,13,24,23,0.9583333333333334,63.4,463,49,101.5,77,305,0.41975308641975306,0.7881040892193308,0.574,0.17300000000000001,109.1,NA
2021,1260,Loyola-Chicago,Horizon League,8,26,24,0.9230769230769231,63.9,521,50,88.3,167,346,0.36633663366336633,0.7408450704225352,0.563,0.21600000000000003,108.5,NA
2021,1261,LSU,Southeastern Conference,8,27,18,0.6666666666666666,70.4,488,44,99.8,152,245,0.3762135922330097,0.7729591836734694,0.528,0.184,119.3,NA
2021,1268,Maryland,American Athletic Conference,10,28,16,0.5714285714285714,65.4,395,56,93,83,203,0.37462235649546827,0.7368421052631579,0.526,0.16899999999999998,110,NA
2021,1276,Michigan,Big Ten Conference,1,24,20,0.8333333333333334,66.9,558,91,91.1,92,320,0.4020100502512563,0.7896341463414634,0.5489999999999999,0.151,118.1,NA
2021,1277,Michigan St,Big Ten Conference,11,27,15,0.5555555555555556,68.7,421,89,93.5,78,269,0.3435374149659864,0.757679180887372,0.479,0.154,105.8,NA
2021,1281,Missouri,Big 12 Conference,9,25,16,0.64,68.6,418,51,95,108,217,0.3303303303303303,0.7186629526462396,0.509,0.184,111.3,NA
2021,1287,Morehead St,Ohio Valley Conference,14,28,23,0.8214285714285714,65.6,560,116,96.7,100,264,0.3721590909090909,0.695364238410596,0.519,0.18,99.3,NA
2021,1291,Mt St Mary's,Northeast Conference,16,22,12,0.5454545454545454,62.2,327,57,100.6,60,159,0.3524229074889868,0.696969696969697,0.48700000000000004,0.163,95.7,NA
2021,1313,Norfolk St,Mid-Eastern Athletic Conference,16,21,16,0.7619047619047619,67.9,350,47,104.1,89,191,0.41156462585034015,0.7325581395348837,0.49700000000000005,0.207,99.4,NA
2021,1314,North Carolina,American Athletic Conference,8,28,18,0.6428571428571429,71.8,479,107,91.6,135,297,0.3323076923076923,0.6939759036144578,0.485,0.193,108.8,NA
2021,1317,North Texas,Conference USA,13,25,17,0.68,63.3,398,51,94.6,119,226,0.41509433962264153,0.7307692307692307,0.54,0.214,104.4,NA
2021,1325,Ohio,Mid-American Conference,13,22,16,0.7272727272727273,69.3,386,32,100.7,95,275,0.3806646525679758,0.689419795221843,0.5579999999999999,0.2,111.9,NA
2021,1326,Ohio St,Big Ten Conference,2,30,21,0.7,66.9,546,80,97,100,285,0.3857758620689655,0.7728194726166329,0.531,0.15,122.1,NA
2021,1328,Oklahoma,Big 12 Conference,8,25,15,0.6,67.6,421,54,94.5,106,221,0.34864864864864864,0.7517482517482518,0.508,0.187,111,NA
2021,1329,Oklahoma St,Big 12 Conference,4,28,20,0.7142857142857143,71.6,556,89,92.3,154,267,0.3482849604221636,0.7259953161592506,0.521,0.193,109.3,NA
2021,1331,Oral Roberts,Summit League,15,23,16,0.6956521739130435,71.4,315,57,107.1,84,162,0.4221556886227545,0.842741935483871,0.536,0.182,107,NA
2021,1332,Oregon,Pacific-10 Conference,7,26,20,0.7692307692307693,67.2,471,75,98.2,153,284,0.3982102908277405,0.7039473684210527,0.544,0.203,113.1,NA
2021,1333,Oregon St,Pacific-10 Conference,12,28,17,0.6071428571428571,65.1,352,41,99.6,96,237,0.38144329896907214,0.7771428571428571,0.48700000000000004,0.185,108.5,NA
2021,1345,Purdue,Big Ten Conference,4,27,18,0.6666666666666666,66.6,467,59,92.9,98,271,0.36082474226804123,0.7154471544715447,0.514,0.16899999999999998,112.4,NA
2021,1353,Rutgers,Big Ten Conference,10,26,15,0.5769230769230769,67.8,419,88,91.9,123,232,0.34812286689419797,0.662020905923345,0.502,0.18899999999999997,106.7,NA
2021,1361,San Diego St,Mountain West Conference,6,26,23,0.8846153846153846,66,531,63,90,175,312,0.37782340862423,0.7312775330396476,0.527,0.225,111.1,NA
2021,1364,UC Santa Barbara,Big West Conference,12,24,22,0.9166666666666666,65.8,480,56,97.6,151,325,0.35792349726775957,0.7614213197969543,0.53,0.20800000000000002,107.9,NA
2021,1382,St Bonaventure,Atlantic 10 Conference,9,20,16,0.8,64.7,410,57,92.9,89,250,0.37037037037037035,0.7461538461538462,0.505,0.195,111.1,NA
2021,1393,Syracuse,Big East Conference,11,25,16,0.64,69.4,409,81,97.6,143,262,0.3660477453580902,0.7986111111111112,0.507,0.20800000000000002,112.8,NA
2021,1397,Tennessee,Southeastern Conference,5,26,18,0.6923076923076923,66.9,437,89,89.2,142,295,0.3502994011976048,0.7724867724867724,0.501,0.22899999999999998,108.8,NA
2021,1400,Texas,Big 12 Conference,3,26,19,0.7307692307692307,69.1,504,71,93.5,122,255,0.3606194690265487,0.7387862796833773,0.529,0.17800000000000002,113.8,NA
2021,1403,Texas Tech,Big 12 Conference,6,27,17,0.6296296296296297,65.7,396,68,92.2,131,242,0.3583617747440273,0.7362110311750599,0.49700000000000005,0.23800000000000002,112.3,NA
2021,1411,TX Southern,Southwest Athletic Conference,16,23,16,0.6956521739130435,71.8,413,72,103.5,103,181,0.2661596958174905,0.7122905027932961,0.483,0.192,97.3,NA
2021,1417,UCLA,Pacific-10 Conference,11,26,17,0.6538461538461539,64.7,448,46,97.5,92,251,0.3961661341853035,0.7217125382262997,0.52,0.17600000000000002,112.3,NA
2021,1422,UNC Greensboro,Southern Conference,13,29,21,0.7241379310344828,68.3,522,75,97.5,154,275,0.3281853281853282,0.6724137931034483,0.48200000000000004,0.21,102.3,NA
2021,1425,USC,Pacific-10 Conference,6,29,22,0.7586206896551724,67.2,598,121,92,107,327,0.3602015113350126,0.6470588235294118,0.521,0.174,112,NA
2021,1429,Utah St,Big West Conference,11,27,20,0.7407407407407407,69,541,108,90,134,343,0.373015873015873,0.7155688622754491,0.498,0.19699999999999998,105.2,NA
2021,1433,VCU,Colonial Athletic Association,10,26,19,0.7307692307692307,70,463,104,89.7,184,276,0.34300791556728233,0.7642045454545454,0.509,0.235,104.6,NA
2021,1437,Villanova,Big East Conference,5,22,16,0.7272727272727273,65.1,383,21,96.7,90,271,0.3888888888888889,0.7743055555555556,0.528,0.19,117.9,NA
2021,1438,Virginia,American Athletic Conference,4,24,18,0.75,59.9,452,79,93.9,91,269,0.38929440389294406,0.8186274509803921,0.561,0.152,114.6,NA
2021,1439,Virginia Tech,Big East Conference,10,21,15,0.7142857142857143,66.5,388,69,94.5,80,220,0.3742690058479532,0.702054794520548,0.525,0.17600000000000002,109.3,NA
2021,1452,West Virginia,Big East Conference,3,27,18,0.6666666666666666,69.6,428,50,95.3,139,249,0.3668639053254438,0.7177777777777777,0.48700000000000004,0.207,115.9,NA
2021,1455,Wichita St,Missouri Valley Conference,11,19,16,0.8421052631578947,67.5,329,46,98.1,79,197,0.3775811209439528,0.7142857142857143,0.47600000000000003,0.18100000000000002,109.6,NA
2021,1457,Winthrop,Big South Conference,12,24,23,0.9583333333333334,73.8,619,56,96.9,180,357,0.36036036036036034,0.6889763779527559,0.53,0.225,104.2,NA
2021,1458,Wisconsin,Big Ten Conference,9,29,17,0.5862068965517241,65,448,67,90.4,107,249,0.4031413612565445,0.7817589576547231,0.494,0.17800000000000002,111.3,NA
